KOG_ID	ko01100_module_ID
K00024	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K00116	M00009: Citrate_cycle_TCA_cycle_Krebs_cycle
K01647	M00010: Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
K05942	M00010: Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
K01681	M00010: Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
K01682	M00010: Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
K00031	M00010: Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
K00030	M00010: Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
K00164	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00658	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01616	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00382	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00174	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00175	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00177	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00176	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01902	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01903	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01899	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01900	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K18118	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00234	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00235	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00236	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00237	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K25801	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00239	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00240	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00241	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00242	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K18859	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K18860	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00244	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00245	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00246	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00247	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01676	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01679	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01677	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01678	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00026	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00025	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00024	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K00116	M00011: Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
K01647	M00012: Glyoxylate_cycle
K01681	M00012: Glyoxylate_cycle
K01682	M00012: Glyoxylate_cycle
K01637	M00012: Glyoxylate_cycle
K01638	M00012: Glyoxylate_cycle
K19282	M00012: Glyoxylate_cycle
K00026	M00012: Glyoxylate_cycle
K00025	M00012: Glyoxylate_cycle
K00024	M00012: Glyoxylate_cycle
K00248	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K00232	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K07511	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K14729	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K05605	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K23146	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K00140	M00013: Malonate_semialdehyde_pathway_propanoyl_CoA_acetyl_CoA
K00012	M00014: Glucuronate_pathway_uronate_pathway
K12447	M00014: Glucuronate_pathway_uronate_pathway
K16190	M00014: Glucuronate_pathway_uronate_pathway
K00699	M00014: Glucuronate_pathway_uronate_pathway
K01195	M00014: Glucuronate_pathway_uronate_pathway
K14756	M00014: Glucuronate_pathway_uronate_pathway
K00002	M00014: Glucuronate_pathway_uronate_pathway
K13247	M00014: Glucuronate_pathway_uronate_pathway
K03331	M00014: Glucuronate_pathway_uronate_pathway
K05351	M00014: Glucuronate_pathway_uronate_pathway
K00008	M00014: Glucuronate_pathway_uronate_pathway
K00854	M00014: Glucuronate_pathway_uronate_pathway
K00931	M00015: Proline_biosynthesis_glutamate_proline
K00147	M00015: Proline_biosynthesis_glutamate_proline
K12657	M00015: Proline_biosynthesis_glutamate_proline
K00286	M00015: Proline_biosynthesis_glutamate_proline
K00928	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K12524	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K12525	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K12526	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K00133	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K01714	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K00215	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K00674	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K00821	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K14267	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K01439	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K01778	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K01586	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K12526	M00016: Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine
K00928	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K12524	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K12525	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00133	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00003	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K12524	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K12525	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00651	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00641	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K01739	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K01760	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K14155	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00548	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K24042	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00549	M00017: Methionine_biosynthesis_aspartate_homoserine_methionine
K00928	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K12524	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K12525	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K12526	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K00133	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K00003	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K12524	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K12525	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K00872	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K02204	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K02203	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K01733	M00018: Threonine_biosynthesis_aspartate_homoserine_threonine
K01652	M00019: Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine
K01653	M00019: Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine
K11258	M00019: Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine
K00053	M00019: Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine
K01687	M00019: Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine
K00826	M00019: Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine
K00058	M00020: Serine_biosynthesis_glycerate_3P_serine
K00831	M00020: Serine_biosynthesis_glycerate_3P_serine
K01079	M00020: Serine_biosynthesis_glycerate_3P_serine
K02203	M00020: Serine_biosynthesis_glycerate_3P_serine
K22305	M00020: Serine_biosynthesis_glycerate_3P_serine
K25528	M00020: Serine_biosynthesis_glycerate_3P_serine
K00640	M00021: Cysteine_biosynthesis_serine_cysteine
K23304	M00021: Cysteine_biosynthesis_serine_cysteine
K01738	M00021: Cysteine_biosynthesis_serine_cysteine
K13034	M00021: Cysteine_biosynthesis_serine_cysteine
K17069	M00021: Cysteine_biosynthesis_serine_cysteine
K01626	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K03856	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K13853	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K01735	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K13829	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K03785	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K03786	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K00014	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K13832	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K13830	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K00891	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K13829	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K00800	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K24018	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K13830	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K01736	M00022: Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate
K01657	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01658	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K13503	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K13501	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01656	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K00766	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K13497	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01817	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K24017	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01656	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01609	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K13498	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K13501	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01695	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01696	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K06001	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01694	M00023: Tryptophan_biosynthesis_chorismate_tryptophan
K01850	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K04092	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K14187	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K04093	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K04516	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K06208	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K06209	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K01713	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K04518	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K05359	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K14170	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K00832	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K00838	M00024: Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine
K01850	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K04092	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K14170	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K04093	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K04516	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K06208	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K06209	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K04517	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K00211	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K14187	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K00832	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K00838	M00025: Tyrosine_biosynthesis_chorismate_HPP_tyrosine
K00765	M00026: Histidine_biosynthesis_PRPP_histidine
K02502	M00026: Histidine_biosynthesis_PRPP_histidine
K01523	M00026: Histidine_biosynthesis_PRPP_histidine
K01496	M00026: Histidine_biosynthesis_PRPP_histidine
K11755	M00026: Histidine_biosynthesis_PRPP_histidine
K14152	M00026: Histidine_biosynthesis_PRPP_histidine
K01814	M00026: Histidine_biosynthesis_PRPP_histidine
K24017	M00026: Histidine_biosynthesis_PRPP_histidine
K02501	M00026: Histidine_biosynthesis_PRPP_histidine
K02500	M00026: Histidine_biosynthesis_PRPP_histidine
K01663	M00026: Histidine_biosynthesis_PRPP_histidine
K01693	M00026: Histidine_biosynthesis_PRPP_histidine
K00817	M00026: Histidine_biosynthesis_PRPP_histidine
K04486	M00026: Histidine_biosynthesis_PRPP_histidine
K05602	M00026: Histidine_biosynthesis_PRPP_histidine
K18649	M00026: Histidine_biosynthesis_PRPP_histidine
K01089	M00026: Histidine_biosynthesis_PRPP_histidine
K00817	M00026: Histidine_biosynthesis_PRPP_histidine
K00013	M00026: Histidine_biosynthesis_PRPP_histidine
K14152	M00026: Histidine_biosynthesis_PRPP_histidine
K01580	M00027: GABA_gamma_Aminobutyrate_shunt
K13524	M00027: GABA_gamma_Aminobutyrate_shunt
K07250	M00027: GABA_gamma_Aminobutyrate_shunt
K00823	M00027: GABA_gamma_Aminobutyrate_shunt
K16871	M00027: GABA_gamma_Aminobutyrate_shunt
K00135	M00027: GABA_gamma_Aminobutyrate_shunt
K00139	M00027: GABA_gamma_Aminobutyrate_shunt
K17761	M00027: GABA_gamma_Aminobutyrate_shunt
K00618	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00619	M00028: Ornithine_biosynthesis_glutamate_ornithine
K14681	M00028: Ornithine_biosynthesis_glutamate_ornithine
K14682	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00620	M00028: Ornithine_biosynthesis_glutamate_ornithine
K22477	M00028: Ornithine_biosynthesis_glutamate_ornithine
K22478	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00930	M00028: Ornithine_biosynthesis_glutamate_ornithine
K22478	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00145	M00028: Ornithine_biosynthesis_glutamate_ornithine
K12659	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00818	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00821	M00028: Ornithine_biosynthesis_glutamate_ornithine
K01438	M00028: Ornithine_biosynthesis_glutamate_ornithine
K14677	M00028: Ornithine_biosynthesis_glutamate_ornithine
K00620	M00028: Ornithine_biosynthesis_glutamate_ornithine
K01948	M00029: Urea_cycle
K00611	M00029: Urea_cycle
K01940	M00029: Urea_cycle
K01755	M00029: Urea_cycle
K14681	M00029: Urea_cycle
K01476	M00029: Urea_cycle
K01655	M00030: Lysine_biosynthesis_AAA_pathway_2_oxoglutarate_2_aminoadipate_lysine
K17450	M00030: Lysine_biosynthesis_AAA_pathway_2_oxoglutarate_2_aminoadipate_lysine
K01705	M00030: Lysine_biosynthesis_AAA_pathway_2_oxoglutarate_2_aminoadipate_lysine
K05824	M00030: Lysine_biosynthesis_AAA_pathway_2_oxoglutarate_2_aminoadipate_lysine
