c_number	Ko_ID	KEGG_pathway_def	Compound_def
C00080	ko01100	Metabolic pathways	H+; Hydron
C00081	ko01100	Metabolic pathways	ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate
C00082	ko01100	Metabolic pathways	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine
C00083	ko01100	Metabolic pathways	Malonyl-CoA; Malonyl coenzyme A
C00084	ko01100	Metabolic pathways	Acetaldehyde; Ethanal
C00085	ko01100	Metabolic pathways	D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester
C00086	ko01100	Metabolic pathways	Urea; Carbamide
C00087	ko01100	Metabolic pathways	Sulfur; S; Elemental sulfur
C00088	ko01100	Metabolic pathways	Nitrite
C00089	ko01100	Metabolic pathways	Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
C00090	ko01100	Metabolic pathways	Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol
C00091	ko01100	Metabolic pathways	Succinyl-CoA; Succinyl coenzyme A
C00092	ko01100	Metabolic pathways	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester
C00093	ko01100	Metabolic pathways	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate
C00094	ko01100	Metabolic pathways	Sulfite; Sulfurous acid
C00095	ko01100	Metabolic pathways	D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose
C00096	ko01100	Metabolic pathways	GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose
C00097	ko01100	Metabolic pathways	L-Cysteine; L-2-Amino-3-mercaptopropionic acid
C00099	ko01100	Metabolic pathways	beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate
C00100	ko01100	Metabolic pathways	Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A
C00101	ko01100	Metabolic pathways	Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-T
C00103	ko01100	Metabolic pathways	D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate
C00104	ko01100	Metabolic pathways	IDP; Inosine 5'-diphosphate; Inosine diphosphate
C00105	ko01100	Metabolic pathways	UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid; Uridylate
C00106	ko01100	Metabolic pathways	Uracil
C00108	ko01100	Metabolic pathways	Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate
C00109	ko01100	Metabolic pathways	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Keto
C00110	ko01100	Metabolic pathways	Dolichyl phosphate; Dolichol phosphate
C00111	ko01100	Metabolic pathways	Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate
C00112	ko01100	Metabolic pathways	CDP; Cytidine 5'-diphosphate; Cytidine diphosphate
C00114	ko01100	Metabolic pathways	Choline; Bilineurine
C00116	ko01100	Metabolic pathways	Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol
C00117	ko01100	Metabolic pathways	D-Ribose 5-phosphate; Ribose 5-phosphate
C00118	ko01100	Metabolic pathways	D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate
C00119	ko01100	Metabolic pathways	5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophospha
C00120	ko01100	Metabolic pathways	Biotin; D-Biotin; Vitamin H; Coenzyme R
C00121	ko01100	Metabolic pathways	D-Ribose
C00122	ko01100	Metabolic pathways	Fumarate; Fumaric acid; trans-Butenedioic acid
C00123	ko01100	Metabolic pathways	L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
C00124	ko01100	Metabolic pathways	D-Galactose; D-Galactopyranose
C00127	ko01100	Metabolic pathways	Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione
C00128	ko01100	Metabolic pathways	CMP-N-acetylneuraminate; CMP-N-acetyl-beta-neuraminate
C00129	ko01100	Metabolic pathways	Isopentenyl diphosphate; Delta3-Isopentenyl diphosphate; Delta3-Methyl-3-butenyl diphosphate; 3-Meth
C00130	ko01100	Metabolic pathways	IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosin
C00131	ko01100	Metabolic pathways	dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate
C00132	ko01100	Metabolic pathways	Methanol; Methyl alcohol; CH3OH
C00133	ko01100	Metabolic pathways	D-Alanine; D-2-Aminopropionic acid; D-Ala
C00134	ko01100	Metabolic pathways	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine
C00135	ko01100	Metabolic pathways	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
C00136	ko01100	Metabolic pathways	Butanoyl-CoA; Butyryl-CoA
C00137	ko01100	Metabolic pathways	myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inosi
C00140	ko01100	Metabolic pathways	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc
C00141	ko01100	Metabolic pathways	3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbuta
C00143	ko01100	Metabolic pathways	5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF
C00144	ko01100	Metabolic pathways	GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid
C00146	ko01100	Metabolic pathways	Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid
C00147	ko01100	Metabolic pathways	Adenine; 6-Aminopurine
C00148	ko01100	Metabolic pathways	L-Proline; 2-Pyrrolidinecarboxylic acid
C00149	ko01100	Metabolic pathways	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid
C00152	ko01100	Metabolic pathways	L-Asparagine; 2-Aminosuccinamic acid
C00153	ko01100	Metabolic pathways	Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP
C00154	ko01100	Metabolic pathways	Palmitoyl-CoA; Hexadecanoyl-CoA
C00155	ko01100	Metabolic pathways	L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
C00156	ko01100	Metabolic pathways	4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid
C00157	ko01100	Metabolic pathways	Phosphatidylcholine; Lecithin; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phospho
C00158	ko01100	Metabolic pathways	Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid
C00159	ko01100	Metabolic pathways	D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose
C00160	ko01100	Metabolic pathways	Glycolate; Glycolic acid; Hydroxyacetic acid
C00163	ko01100	Metabolic pathways	Propanoate; Propionate; Propanoic acid; Propionic acid
C00164	ko01100	Metabolic pathways	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid
C00166	ko01100	Metabolic pathways	Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-ox
C00167	ko01100	Metabolic pathways	UDP-glucuronate; UDPglucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate
C00168	ko01100	Metabolic pathways	Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid
C00169	ko01100	Metabolic pathways	Carbamoyl phosphate
C00170	ko01100	Metabolic pathways	5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-De
C00173	ko01100	Metabolic pathways	Acyl-[acyl-carrier protein]
C00178	ko01100	Metabolic pathways	Thymine; 5-Methyluracil
C00179	ko01100	Metabolic pathways	Agmatine; (4-Aminobutyl) guanidine
C00180	ko01100	Metabolic pathways	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid
C00181	ko01100	Metabolic pathways	D-Xylose; Wood sugar
C00183	ko01100	Metabolic pathways	L-Valine; 2-Amino-3-methylbutyric acid
C00184	ko01100	Metabolic pathways	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-
C00185	ko01100	Metabolic pathways	Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose
C00186	ko01100	Metabolic pathways	(S)-Lactate; L-Lactate; L-Lactic acid
C00187	ko01100	Metabolic pathways	Cholesterol; Cholest-5-en-3beta-ol
C00188	ko01100	Metabolic pathways	L-Threonine; 2-Amino-3-hydroxybutyric acid
C00189	ko01100	Metabolic pathways	Ethanolamine; Aminoethanol; 2-Hydroxyethylamine
C00190	ko01100	Metabolic pathways	UDP-D-xylose; UDP-xylose; UDP-alpha-D-xylose
C00191	ko01100	Metabolic pathways	D-Glucuronate; Glucuronic acid; Glucuronate
C00192	ko01100	Metabolic pathways	Hydroxylamine; NH2OH
C00194	ko01100	Metabolic pathways	Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vi
C00195	ko01100	Metabolic pathways	N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide
C00197	ko01100	Metabolic pathways	3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate
C00198	ko01100	Metabolic pathways	D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolac
C00199	ko01100	Metabolic pathways	D-Ribulose 5-phosphate
C00203	ko01100	Metabolic pathways	UDP-N-acetyl-D-galactosamine; UDP-N-acetyl-alpha-D-galactosamine
C00204	ko01100	Metabolic pathways	2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate; 2-Dehydro-3-deoxy-D-gluconic acid
C00206	ko01100	Metabolic pathways	dADP; 2'-Deoxyadenosine 5'-diphosphate
C00207	ko01100	Metabolic pathways	Acetone; Dimethyl ketone; 2-Propanone; Propan-2-one
C00208	ko01100	Metabolic pathways	Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
C00209	ko01100	Metabolic pathways	Oxalate; Oxalic acid; Ethanedioic acid
C00212	ko01100	Metabolic pathways	Adenosine
C00213	ko01100	Metabolic pathways	Sarcosine; N-Methylglycine
C00214	ko01100	Metabolic pathways	Thymidine; Deoxythymidine
C00216	ko01100	Metabolic pathways	D-Arabinose; D-Arabinopyranose
C00217	ko01100	Metabolic pathways	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid
C00218	ko01100	Metabolic pathways	Methylamine; Methanamine
C00219	ko01100	Metabolic pathways	Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic
C00221	ko01100	Metabolic pathways	beta-D-Glucose; beta-D-Glucopyranose
C00222	ko01100	Metabolic pathways	3-Oxopropanoate; Malonate semialdehyde
C00223	ko01100	Metabolic pathways	p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA; trans-4-Coumaroyl-CoA; (E)-4-Coumaroyl-CoA
C00224	ko01100	Metabolic pathways	Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate
C00227	ko01100	Metabolic pathways	Acetyl phosphate
C00229	ko01100	Metabolic pathways	Acyl-carrier protein; ACP; [Acyl-carrier protein]; Holo-[acyl-carrier protein]
C00230	ko01100	Metabolic pathways	3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid
C00231	ko01100	Metabolic pathways	D-Xylulose 5-phosphate
C00232	ko01100	Metabolic pathways	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate
C00233	ko01100	Metabolic pathways	4-Methyl-2-oxopentanoate; 2-Oxoisocaproate; alpha-Ketoisocaproate
C00234	ko01100	Metabolic pathways	10-Formyltetrahydrofolate; 10-Formyl-THF
C00235	ko01100	Metabolic pathways	Dimethylallyl diphosphate; 2-Isopentenyl diphosphate; Delta2-Isopentenyl diphosphate; Dimethylallyl
C00236	ko01100	Metabolic pathways	3-Phospho-D-glyceroyl phosphate; 1,3-Bisphospho-D-glycerate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoan
C00237	ko01100	Metabolic pathways	CO; Carbon monoxide
C00239	ko01100	Metabolic pathways	dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monopho
C00242	ko01100	Metabolic pathways	Guanine; 2-Amino-6-hydroxypurine
C00243	ko01100	Metabolic pathways	Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar
C00244	ko01100	Metabolic pathways	Nitrate; Nitric acid
C00245	ko01100	Metabolic pathways	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid
C00246	ko01100	Metabolic pathways	Butanoic acid; Butanoate; Butyrate; Butyric acid
C00247	ko01100	Metabolic pathways	L-Sorbose; L-xylo-Hexulose
C00249	ko01100	Metabolic pathways	Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid
C00250	ko01100	Metabolic pathways	Pyridoxal
C00251	ko01100	Metabolic pathways	Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxy
C00252	ko01100	Metabolic pathways	Isomaltose; Brachiose
C00253	ko01100	Metabolic pathways	Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid
C00254	ko01100	Metabolic pathways	Prephenate; Prephenic acid
C00255	ko01100	Metabolic pathways	Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2
C00256	ko01100	Metabolic pathways	(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid
C00257	ko01100	Metabolic pathways	D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid
C00258	ko01100	Metabolic pathways	D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid
C00259	ko01100	Metabolic pathways	L-Arabinose; L-Arabinopyranose
C00261	ko01100	Metabolic pathways	Benzaldehyde; Benzoic aldehyde
C00262	ko01100	Metabolic pathways	Hypoxanthine; Purine-6-ol
C00263	ko01100	Metabolic pathways	L-Homoserine; 2-Amino-4-hydroxybutyric acid
C00266	ko01100	Metabolic pathways	Glycolaldehyde; Hydroxyacetaldehyde
C00267	ko01100	Metabolic pathways	alpha-D-Glucose
C00268	ko01100	Metabolic pathways	Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; 6-[(1R,2S)-1,2-Dihydroxypropyl]-6,
C00269	ko01100	Metabolic pathways	CDP-diacylglycerol; CDP-1,2-diacylglycerol; 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
C00270	ko01100	Metabolic pathways	N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonuloso
C00272	ko01100	Metabolic pathways	Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydor
C00275	ko01100	Metabolic pathways	D-Mannose 6-phosphate
C00279	ko01100	Metabolic pathways	D-Erythrose 4-phosphate
C00280	ko01100	Metabolic pathways	Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione
C00283	ko01100	Metabolic pathways	Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide
C00286	ko01100	Metabolic pathways	dGTP; 2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate
C00288	ko01100	Metabolic pathways	HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate
C00294	ko01100	Metabolic pathways	Inosine
C00295	ko01100	Metabolic pathways	Orotate; Orotic acid; Uracil-6-carboxylic acid
C00296	ko01100	Metabolic pathways	Quinate; Quinic acid; Kinic acid; Chinic acid; L-Quinic acid; L-Quinate; (-)-Quinic acid
C00299	ko01100	Metabolic pathways	Uridine
C00300	ko01100	Metabolic pathways	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
C00301	ko01100	Metabolic pathways	ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose
C00302	ko01100	Metabolic pathways	Glutamate; Glutaminic acid; 2-Aminoglutaric acid
C00307	ko01100	Metabolic pathways	CDP-choline; Cytidine 5'-diphosphocholine; Citicoline
C00309	ko01100	Metabolic pathways	D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose
C00310	ko01100	Metabolic pathways	D-Xylulose; D-threo-Pentulose; D-Lyxulose
C00311	ko01100	Metabolic pathways	Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid
C00312	ko01100	Metabolic pathways	L-Xylulose; L-threo-Pentulose; L-Lyxulose
C00313	ko01100	Metabolic pathways	Oxalyl-CoA
C00314	ko01100	Metabolic pathways	Pyridoxine; Pyridoxol
C00315	ko01100	Metabolic pathways	Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine
C00319	ko01100	Metabolic pathways	Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine
C00320	ko01100	Metabolic pathways	Thiosulfate; Hyposulfite
C00322	ko01100	Metabolic pathways	2-Oxoadipate; 2-Oxoadipic acid; 2-Oxohexanedioic acid
C00323	ko01100	Metabolic pathways	Caffeoyl-CoA; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA
C00325	ko01100	Metabolic pathways	GDP-L-fucose; GDP-beta-L-fucose
C00327	ko01100	Metabolic pathways	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
C00328	ko01100	Metabolic pathways	L-Kynurenine; 3-Anthraniloyl-L-alanine
C00329	ko01100	Metabolic pathways	D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose
C00330	ko01100	Metabolic pathways	Deoxyguanosine; 2'-Deoxyguanosine
C00331	ko01100	Metabolic pathways	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate
C00332	ko01100	Metabolic pathways	Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
C00333	ko01100	Metabolic pathways	D-Galacturonate; D-Galacturonic acid
C00334	ko01100	Metabolic pathways	4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric aci
C00337	ko01100	Metabolic pathways	(S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic
C00338	ko01100	Metabolic pathways	Lipopolysaccharide; LPS
C00341	ko01100	Metabolic pathways	Geranyl diphosphate
C00344	ko01100	Metabolic pathways	Phosphatidylglycerol; 3-(3-sn-Phosphatidyl)glycerol; 3(3-Phosphatidyl-)glycerol; PtdGro
C00345	ko01100	Metabolic pathways	6-Phospho-D-gluconate
C00346	ko01100	Metabolic pathways	Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine
C00350	ko01100	Metabolic pathways	Phosphatidylethanolamine; (3-Phosphatidyl)ethanolamine; (3-Phosphatidyl)-ethanolamine; Cephalin; O-(
C00352	ko01100	Metabolic pathways	D-Glucosamine 6-phosphate; D-Glucosamine phosphate
C00353	ko01100	Metabolic pathways	Geranylgeranyl diphosphate; Geranylgeranyl pyrophosphate; all-trans-Geranylgeranyl diphosphate; all-
C00354	ko01100	Metabolic pathways	D-Fructose 1,6-bisphosphate
C00355	ko01100	Metabolic pathways	3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Le
C00356	ko01100	Metabolic pathways	(S)-3-Hydroxy-3-methylglutaryl-CoA; Hydroxymethylglutaryl-CoA; Hydroxymethylglutaroyl coenzyme A; HM
C00357	ko01100	Metabolic pathways	N-Acetyl-D-glucosamine 6-phosphate
